Frequency_Hz,Power_dB
31585.693359375,-135.3353935542196
31661.9873046875,-134.96349741889586
31738.28125,-135.49311047962405
31814.5751953125,-146.30412886058735
31890.869140625,-114.44585641435408
31967.1630859375,-98.51077751154621
32043.45703125,-99.6404530977257
32119.7509765625,-117.94763089244756
32196.044921875,-139.38193258492754
32272.3388671875,-148.16928967855486
32348.6328125,-147.85165337330216
32424.9267578125,-146.8752369490252
32501.220703125,-145.37614398116102
32577.5146484375,-143.83042395435697
32653.80859375,-142.6071606469088
32730.1025390625,-142.4475349444051
32806.396484375,-150.4570749109811
32882.6904296875,-123.04164320367947
32958.984375,-104.4267030703723
33035.2783203125,-104.00935672157635
33111.572265625,-119.76097279673067
33187.8662109375,-142.17914872156936
33264.16015625,-151.56542068177413
33340.4541015625,-151.1870199587416
33416.748046875,-149.33711096019
33493.0419921875,-147.21943355784492
33569.3359375,-145.35292588596354
33645.6298828125,-143.97623537706642
33721.923828125,-143.840902799452
33798.2177734375,-154.9415239402716
33874.51171875,-125.04600015516391
33950.8056640625,-103.47410102004118
34027.099609375,-101.44877305356692
34103.3935546875,-115.14712071175313
34179.6875,-142.48042680938312
34255.9814453125,-151.70544567583593
34332.275390625,-150.12459436515175
34408.5693359375,-151.78114153356276
34484.86328125,-153.77713851223973
34561.1572265625,-154.2890713109889
34637.451171875,-152.9622934584452
34713.7451171875,-151.77321007404151
34790.0390625,-150.75333774353356
34866.3330078125,-130.8239969599858
34942.626953125,-106.147035393207
